,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
53,317840,Wolves,Fulham,09/20/2009 14:00:00,16,4,10,6,2-1,5,4,0,2.5,3.25,2.88,2.4,3.1,2.75,2.5,3.2,2.75,2.4,3.2,2.85,2.6,3.3,75,72,69,72,76,76,77,76,37,24.1,19,59.7,1.61,42,25.3,28,92.8,2.21
54,317841,Bolton,Stoke,09/19/2009 15:00:00,19,3,8,7,1-1,4,5,0,2.1,3.25,3.75,2,3.15,3.5,2.05,3.25,3.5,2.1,3.25,3.4,2.1,3.25,77,75,73,75,76,72,75,73,32,25.3,18,85.33,2.67,37,25.9,18,76.8,2.08
55,317842,Hull,Birmingham,09/19/2009 15:00:00,17,4,14,4,0-1,5,5,0,2.4,3.25,3,2.3,3.1,2.9,2.4,3.2,2.85,2.3,3.2,3,2.3,3.3,70,72,73,73,73,75,71,74,37,26,23,75.65,2.04,36,25.5,18,63.5,1.76
56,317843,Burnley,Sunderland,09/19/2009 12:45:00,12,6,6,9,3-1,5,5,0,2.88,3.25,2.5,2.7,3.2,2.4,2.75,3.2,2.5,2.55,3.2,2.65,2.8,3.3,75,72,70,72,78,77,74,75,33,25,20,38.45,1.17,38,24.5,26,131.7,3.47
57,317844,Chelsea,Tottenham,09/20/2009 16:00:00,1,15,3,12,3-0,5,5,0,1.5,4,7,1.4,4.05,7,1.5,3.75,7,1.55,3.7,6,1.5,4,85,84,84,83,81,78,78,79,33,25.5,24,443.9,13.45,41,23.3,20,249.2,6.08
58,317845,Liverpool,Hull,09/26/2009 15:00:00,3,12,19,4,6-1,6,6,0,1.14,7.5,23,1.15,6.25,13.5,1.15,6.5,19,1.15,6.5,15,1.14,7.5,88,82,81,82,70,72,73,73,30,24.4,24,336.6,11.22,37,26,23,75.65,2.04
59,317882,Tottenham,Burnley,09/26/2009 15:00:00,6,12,9,9,5-0,6,6,0,1.33,5,10,1.35,4.5,7.25,1.33,4.5,9.5,1.35,4.5,8.5,1.3,5,81,78,78,79,75,72,70,72,41,23.3,20,249.2,6.08,33,25,20,38.45,1.17
60,317883,Wigan,Chelsea,09/26/2009 15:00:00,15,6,1,18,3-1,6,6,1,10,5,1.33,8.5,4.6,1.3,9.5,4.5,1.33,8.5,4.5,1.35,11,5,74,74,74,74,85,84,84,83,35,25.4,27,73.9,2.11,33,25.5,24,443.9,13.45
61,317884,Sunderland,Wolves,09/27/2009 16:00:00,8,9,12,7,5-2,6,6,0,1.73,3.6,5,1.7,3.35,4.6,1.73,3.5,4.75,1.75,3.5,4.6,1.73,3.5,78,77,74,75,75,72,69,72,38,24.5,26,131.7,3.47,37,24.1,19,59.7,1.61
62,317885,Stoke,Man Utd,09/26/2009 15:00:00,10,8,2,15,0-2,6,6,0,8.5,4.5,1.4,8.75,4.5,1.3,8.5,4,1.4,7.5,4.3,1.4,10,4.5,76,72,75,73,86,81,84,82,37,25.9,18,76.8,2.08,33,25,22,362.95,11
63,317886,Portsmouth,Everton,09/26/2009 12:45:00,20,-9,13,6,0-1,6,5,0,4.2,3.4,1.91,3.5,3.3,1.95,4,3.3,1.9,3.9,3.3,1.9,4.33,3.5,75,74,74,75,80,77,79,79,45,25.4,29,99.85,2.22,42,23.1,23,221.55,5.28
64,317887,Man City,West Ham,09/28/2009 20:00:00,5,12,16,4,3-1,5,5,0,1.44,4.33,7.5,1.4,4,7.25,1.45,4,7,1.45,4,7,1.4,4.5,84,80,80,81,76,76,75,76,40,24.1,24,314.9,7.87,35,23.8,20,118.3,3.38
65,317888,Fulham,Arsenal,09/26/2009 17:30:00,13,6,7,9,0-1,5,5,0,6.5,4,1.53,5.65,3.85,1.5,6,3.75,1.55,6,3.7,1.55,6.5,3.6,76,76,77,76,85,82,82,81,42,25.3,28,92.8,2.21,45,21.7,31,281,6.24
66,317889,Blackburn,Aston Villa,09/26/2009 15:00:00,18,4,4,12,2-1,5,5,0,3.1,3.25,2.38,3,3.2,2.2,3,3.2,2.3,2.85,3.2,2.4,3.1,3.25,75,75,75,75,82,79,76,79,35,25.3,29,90.3,2.58,31,25.5,13,160.4,5.17
67,317890,Birmingham,Bolton,09/26/2009 15:00:00,11,7,17,4,1-2,6,5,0,2.2,3.25,3.4,2.15,3.15,3.15,2.2,3.2,3.2,2.1,3.25,3.4,2.25,3.25,73,75,71,74,77,75,73,75,36,25.5,18,63.5,1.76,32,25.3,18,85.33,2.67
68,317892,Wolves,Portsmouth,10/03/2009 15:00:00,16,7,20,-9,0-1,7,7,0,2,3.4,3.8,1.95,3.4,3.4,2.1,3.25,3.4,2.2,3.3,3.1,2,3.4,75,72,69,72,75,74,74,75,37,24.1,19,59.7,1.61,45,25.4,29,99.85,2.22
69,317893,West Ham,Fulham,10/04/2009 15:00:00,18,4,17,6,2-2,6,6,1,2.2,3.25,3.4,1.95,3.25,3.55,2.2,3.2,3.2,2.1,3.3,3.35,2.2,3.3,76,76,75,76,76,76,77,76,35,23.8,20,118.3,3.38,42,25.3,28,92.8,2.21
70,317894,Everton,Stoke,10/04/2009 15:00:00,9,9,12,8,1-1,6,7,0,1.57,4,6,1.5,3.65,6.15,1.55,3.75,6,1.5,3.9,6.5,1.57,3.6,80,77,79,79,76,72,75,73,42,23.1,23,221.55,5.28,37,25.9,18,76.8,2.08
71,317895,Chelsea,Liverpool,10/04/2009 16:00:00,2,18,3,15,2-0,7,7,0,2.1,3.3,3.6,2.05,3.25,3.25,2.15,3.25,3.3,2.1,3.2,3.45,2.1,3.2,85,84,84,83,88,82,81,82,33,25.5,24,443.9,13.45,30,24.4,24,336.6,11.22
72,317896,Burnley,Birmingham,10/03/2009 15:00:00,11,9,13,7,2-1,7,7,0,2.3,3.25,3.2,2.2,3.2,3,2.25,3.25,3.1,2.3,3.3,2.9,2.2,3.3,75,72,70,72,73,75,71,74,33,25,20,38.45,1.17,36,25.5,18,63.5,1.76
