,match_id,Home,Away,Datetime,HomePos,HomePts,AwayPos,AwayPts,Result,HomeMatches,AwayMatches,OddsH1,OddsD1,OddsA1,OddsH2,OddsD2,OddsA2,OddsH3,OddsD3,OddsA3,OddsH4,OddsD4,OddsA4,OddsH5,OddsD5,OddsA5,HATT,HMID,HDEF,HOVR,HATT,HMID,HDEF,HOVR,HNplayers,HAverageAge,HNforeign,HPlayerValues,HMarketValue,ANplayers,AAverageAge,ANforeign,APlayerValues,AMarketValue
49,335089,Barcelona,Zaragoza,10/25/2009 19:00:00,1.0,19.0,13,8.0,6-1,7,7,1.1,9.0,21.0,1.14,9.25,15.0,1.14,7.0,17.0,1.15,6.5,15.0,1.14,6.0,13.0,88,86,84,84,75,74,74,74,31,24.1,15,425.5,13.73,37,25.5,18,87.5,2.36
50,335093,Espanyol,Valladolid,11/01/2009 15:00:00,9.0,12.0,15,8.0,1-1,8,8,1.91,3.5,4.0,1.85,3.5,3.9,1.87,3.4,4.0,1.85,3.4,4.0,1.8,3.2,4.0,77,79,71,75,75,75,74,74,34,23.8,12,73.7,2.17,32,24.5,7,49.9,1.56
51,335094,Deportivo,Sporting Gijon,11/01/2009 20:00:00,5.0,15.0,7,12.0,1-1,8,8,1.8,3.5,4.5,1.8,3.5,4.15,1.83,3.4,4.25,1.8,3.5,4.1,1.83,3.3,3.6,76,76,78,76,75,73,70,73,31,25.0,8,62.5,2.02,35,24.4,3,42.7,1.22
52,335095,Real Madrid,Getafe,10/31/2009 16:00:00,2.0,19.0,8,12.0,2-0,8,8,1.44,4.2,7.5,1.45,4.05,6.75,1.42,4.33,7.0,1.4,4.5,7.0,1.4,3.75,7.0,83,85,82,83,78,75,76,75,31,24.5,16,489.4,15.79,29,25.4,9,73.5,2.53
53,335097,Mallorca,Racing Santander,11/01/2009 15:00:00,6.0,14.0,16,7.0,1-0,8,8,1.83,3.5,4.33,1.75,3.55,4.4,1.83,3.5,4.0,1.85,3.4,4.0,1.73,3.2,4.33,76,73,73,73,77,75,74,75,27,25.7,11,51.1,1.89,34,24.4,9,78.7,2.31
54,335101,Malaga,Valencia,11/01/2009 18:00:00,20.0,4.0,4,15.0,0-1,8,8,3.8,3.6,1.91,4.2,3.45,1.8,3.75,3.4,1.95,3.5,3.4,2.0,3.75,3.3,1.8,75,76,73,74,86,79,79,80,37,24.4,13,60.8,1.64,34,24.6,10,213.8,6.29
55,335108,Valladolid,Xerez,11/08/2009 15:00:00,16.0,9.0,19,5.0,0-0,9,9,1.65,3.7,5.25,1.55,3.75,5.85,1.62,3.6,5.5,1.7,3.5,4.9,1.62,3.5,4.5,75,75,74,74,73,71,70,72,32,24.5,7,49.9,1.56,26,26.5,8,32.5,1.25
56,335112,Getafe,Deportivo,11/07/2009 16:00:00,11.0,12.0,6,16.0,0-2,9,9,2.1,3.3,3.5,2.05,3.35,3.4,2.1,3.3,3.35,2.1,3.25,3.4,2.1,3.2,3.0,78,75,76,75,76,76,78,76,29,25.4,9,73.5,2.53,31,25.0,8,62.5,2.02
57,335116,Atletico,Real Madrid,11/07/2009 20:00:00,18.0,7.0,2,22.0,2-3,9,9,3.75,3.5,1.95,3.9,3.5,1.85,3.75,3.6,1.87,3.5,3.4,2.0,3.75,3.2,1.83,85,81,76,79,83,85,82,83,37,23.1,16,210.4,5.69,31,24.5,16,489.4,15.79
58,335117,Racing Santander,Athletic Club,11/08/2009 15:00:00,17.0,7.0,9,13.0,0-2,9,9,2.25,3.3,3.2,2.2,3.35,3.05,2.25,3.3,3.0,2.2,3.2,3.2,2.25,3.2,2.75,77,75,74,75,74,76,76,75,34,24.4,9,78.7,2.31,36,24.2,2,76.35,2.12
